"id","gender","current_age","retirement_age","birth_period","latitude","longitude","yearly_income","total_debt","credit_score","num_credit_cards","total_cards","max_credit_limit","darkweb_card_count","credit_card_count","debit_card_count","trans_year","total_transactions","total_amount","active_user","productive_user","having_debt"
825,"Female",53,66,"11-1966",34.15,-117.76,59696.0,127613.0,787,5,5,46414.0,0,1,3,2010,1123,88466.05,1,1,1
1746,"Female",53,68,"12-1966",40.76,-73.74,77254.0,191349.0,701,5,5,28508.0,0,1,2,2010,561,52143.95,1,1,1
1718,"Female",81,67,"11-1938",34.02,-117.89,33483.0,196.0,698,5,5,31599.0,0,0,5,2010,2396,76657.35,1,0,1
708,"Female",63,63,"01-1957",40.71,-73.99,249925.0,202328.0,722,4,4,132439.0,0,1,2,2010,834,120564.57,1,0,1
1164,"Male",43,70,"09-1976",37.76,-122.44,109687.0,183855.0,675,1,1,34900.0,0,0,1,2010,966,98700.93,1,1,1
68,"Male",42,70,"10-1977",41.55,-90.6,41997.0,0.0,704,3,3,21587.0,0,2,1,2010,1239,72587.18,1,1,0
1075,"Female",36,67,"12-1983",38.22,-85.74,51500.0,102286.0,672,3,3,29964.0,0,1,2,2010,1738,62250.21,1,1,1
1711,"Male",26,67,"12-1993",45.51,-122.64,54623.0,114711.0,728,1,1,17480.0,0,0,1,2010,0,0.0,0,1,1
1116,"Female",81,66,"07-1938",40.32,-75.32,42509.0,2895.0,755,5,5,29333.0,0,2,3,2010,1481,98288.07,1,0,1
1752,"Female",34,60,"01-1986",29.97,-92.12,38190.0,81262.0,810,1,1,9496.0,0,0,1,2010,1656,36103.22,1,1,1
192,"Male",27,66,"06-1992",38.65,-121.25,56164.0,15224.0,761,2,2,25499.0,0,0,2,2010,0,0.0,0,1,1
640,"Female",29,63,"09-1990",40.42,-104.74,45727.0,94016.0,629,1,1,26019.0,0,0,1,2010,0,0.0,0,1,1
1679,"Female",18,67,"01-2002",41.76,-71.48,69149.0,89214.0,776,1,1,25845.0,0,0,1,2010,0,0.0,0,1,1
1094,"Male",34,62,"10-1985",44.75,-85.6,41442.0,78833.0,712,3,3,18684.0,0,1,2,2010,518,23528.2,1,1,1
1590,"Female",48,62,"05-1971",29.45,-98.5,20513.0,32509.0,599,1,1,4147.0,0,0,1,2010,0,0.0,0,1,1
1660,"Female",41,68,"04-1978",36.73,-102.51,23123.0,5079.0,723,6,6,12082.0,0,3,2,2010,757,18879.15,1,1,1
1747,"Male",54,71,"01-1966",32.15,-94.79,36497.0,38333.0,719,6,6,18424.0,0,2,4,2010,0,0.0,0,1,1
153,"Female",76,71,"08-1943",35.29,-111.32,27484.0,16803.0,660,4,4,32092.0,0,1,3,2010,447,24570.87,1,0,1
429,"Male",22,68,"11-1997",35.19,-80.83,53995.0,89056.0,683,3,3,19900.0,0,1,2,2010,0,0.0,0,1,1
511,"Male",66,68,"10-1953",32.21,-110.88,35602.0,55369.0,661,5,5,11858.0,0,1,3,2010,2277,98546.9,1,0,1
309,"Male",28,57,"08-1991",32.07,-82.91,25122.0,43205.0,819,3,3,9944.0,0,2,1,2010,0,0.0,0,1,1
777,"Male",18,65,"01-2002",37.37,-122.21,216740.0,0.0,700,2,2,77237.0,0,0,2,2010,0,0.0,0,1,0
1946,"Male",76,66,"06-1943",41.47,-81.67,41109.0,21486.0,698,2,2,12500.0,0,1,1,2010,909,27116.77,1,0,1
1674,"Male",70,64,"04-1949",35.49,-90.35,26858.0,11245.0,712,2,2,23432.0,0,1,1,2010,499,18492.22,1,0,1
482,"Male",45,65,"01-1975",42.39,-122.93,34929.0,63849.0,714,1,1,12100.0,0,1,0,2010,0,0.0,0,1,1
877,"Female",36,63,"08-1983",33.44,-111.85,34317.0,61826.0,610,3,3,12000.0,0,1,2,2010,901,55221.26,1,1,1
128,"Female",40,66,"04-1979",29.76,-95.38,31377.0,59615.0,722,2,2,13601.0,0,1,1,2010,868,37582.64,1,1,1
775,"Male",37,58,"09-1982",34.17,-118.46,43638.0,104052.0,627,1,1,17816.0,0,0,1,2010,0,0.0,0,1,1
1536,"Male",41,67,"11-1978",36.15,-85.5,32531.0,38260.0,766,2,2,17707.0,0,1,1,2010,0,0.0,0,1,1
140,"Female",37,72,"02-1983",36.28,-86.83,42120.0,72801.0,739,4,4,24608.0,0,0,4,2010,1076,31255.29,1,1,1
1884,"Male",18,64,"05-2001",39.98,-82.98,57281.0,89114.0,850,1,1,74.0,0,0,0,2010,0,0.0,0,1,1
1874,"Male",49,66,"09-1970",25.77,-80.2,38390.0,87923.0,783,4,4,25264.0,0,1,3,2010,878,33141.68,1,1,1
1310,"Female",33,69,"09-1986",33.92,-78.02,35670.0,58182.0,751,2,2,12200.0,0,2,0,2010,0,0.0,0,1,1
1689,"Female",21,66,"09-1998",41.29,-72.36,61746.0,154817.0,637,2,2,25815.0,0,1,1,2010,0,0.0,0,1,1
379,"Female",47,65,"11-1972",30.68,-88.04,43496.0,114563.0,765,3,3,24232.0,0,1,2,2010,2210,51926.63,1,1,1
34,"Male",41,55,"08-1978",38.48,-121.34,51854.0,72162.0,737,2,2,10775.0,0,0,1,2010,1511,81203.98,1,1,1
822,"Female",51,68,"04-1968",32.61,-117.03,34540.0,22641.0,793,5,5,29351.0,0,2,2,2010,745,25086.43,1,1,1
1499,"Male",46,62,"11-1973",41.97,-88.14,41287.0,88151.0,662,1,1,23700.0,0,1,0,2010,0,0.0,1,1,1
1780,"Male",46,70,"10-1973",36.62,-121.82,38054.0,63293.0,666,1,1,700.0,0,1,0,2010,0,0.0,0,1,1
1806,"Female",59,62,"02-1961",42.31,-71.64,80371.0,108499.0,822,1,1,7488.0,0,0,1,2010,0,0.0,0,1,1
811,"Female",91,68,"02-1929",38.9,-94.68,84694.0,2149.0,741,7,7,53549.0,0,2,5,2010,1032,71527.9,1,0,1
1844,"Male",79,72,"02-1941",27.8,-97.39,37503.0,14272.0,706,5,5,21058.0,0,2,2,2010,1032,37016.68,1,0,1
1852,"Male",57,75,"12-1962",33.27,-111.94,65357.0,21844.0,685,4,4,36425.0,0,2,1,2010,1778,75663.81,1,1,1
1231,"Female",26,52,"01-1994",26.41,-81.42,22066.0,38967.0,842,1,1,9090.0,0,0,1,2010,0,0.0,0,1,1
970,"Male",42,66,"11-1977",29.1,-81.0,44681.0,42011.0,770,3,3,25942.0,0,2,1,2010,1258,38176.8,1,1,1
381,"Male",26,69,"02-1994",38.72,-90.47,51306.0,68198.0,675,1,1,18100.0,0,1,0,2010,0,0.0,0,1,1
1134,"Female",18,59,"02-2002",29.45,-98.5,25847.0,46379.0,568,1,1,7200.0,0,1,0,2010,0,0.0,0,1,1
1296,"Female",60,64,"11-1959",28.7,-81.34,46683.0,93126.0,788,5,5,22660.0,0,2,2,2010,2088,59081.73,1,0,1
1880,"Male",61,66,"11-1958",43.06,-87.96,31579.0,52419.0,771,3,3,14719.0,0,1,2,2010,1158,47388.99,1,0,1
322,"Male",47,65,"10-1972",31.22,-84.21,28055.0,12475.0,829,3,3,6200.0,0,1,2,2010,676,10903.6,1,1,1
461,"Female",42,68,"12-1977",42.3,-83.48,65403.0,80057.0,784,4,4,33642.0,0,0,4,2010,2146,85046.0,1,1,1
1165,"Female",55,73,"11-1964",36.37,-84.12,27572.0,59404.0,797,1,1,14695.0,0,0,1,2010,0,0.0,0,1,1
1448,"Female",48,70,"12-1971",35.05,-82.09,38539.0,0.0,850,3,3,29950.0,0,2,1,2010,1617,58613.54,1,1,0
1288,"Female",41,57,"07-1978",38.47,-81.81,38059.0,68220.0,634,2,2,10051.0,0,0,2,2010,1176,52945.95,1,1,1
